STOCK|CODE

20 Microns Ltd|BOM533022
3i Infotech Ltd|BOM532628
3m India Ltd|BOM523395
7seas Technologies Ltd-$|BOM590116
8k Miles Software Services Ltd|BOM512161
A.f. Enterprises Ltd|BOM538351
A.k. Spintex Ltd|BOM539300
A.k.capital Services Ltd|BOM530499
A2z Infra Engineering Limited|BOM533292
Aadhaar Ventures India Ltd|BOM531611
Aadi Industries Ltd|BOM530027
Aagam Capital Ltd|BOM531866
Aananda Lakshmi Spinning Mills Ltd|BOM539096
Aanchal Ispat Ltd|BOM538812
Aarey Drugs & Pharmaceuticals Ltd|BOM524412
Aarti Drugs Ltd|BOM524348
Aarti Industries Ltd|BOM524208
Aarvee Denims & Exports Ltd|BOM514274
Aarya Global Shares And Securities Ltd|BOM531731
Aashee Infotech Ltd|BOM519319
Aaswa Trading & Exports Ltd|BOM512038
Aban Offshore Ltd|BOM523204
Abans Enterprises Ltd|BOM512165
Abb India Limited|BOM500002
Abbott India Ltd|BOM500488
Abc Bearings Ltd.-$|BOM505665
Abc Gas (international) Ltd|BOM513119
Abc India Ltd.-$|BOM520123
Abg Shipyard Ltd|BOM532682
Abhinav Capital Services Ltd|BOM532057
Abhinav Leasing & Finance Ltd|BOM538952
Abhishek Corporation Ltd|BOM532831
Abhishek Finlease Ltd|BOM538935
Abirami Financial Services (india) Ltd|BOM511756
Abl Biotechnologies Ltd|BOM526955
Abm Knowledgeware Ltd|BOM531161
Acc Ltd|BOM500410
Accel Frontline Ltd|BOM532774
Accel Transmatic Ltd|BOM517494
Accelya Kale Solutions Limitd|BOM532268
Accentia Technologies Ltd.-$|BOM531897
Acclaim Industries Limited|BOM526347
Accurate Transformers Ltd|BOM530513
Ace Edutrend Ltd|BOM530093
Ace Software Exports Ltd.-$|BOM531525
Ace Tours Worldwide Ltd|BOM536492
Achal Investments Ltd|BOM538570
Aci Infocom Ltd|BOM517356
Acil Cotton Industries Limited|BOM530901
Acknit Industries Ltd|BOM530043
Acme Resources Ltd|BOM539391
Acropetal Technologies Ltd|BOM533330
Acrow India Ltd|BOM513149
Acrysil Ltd|BOM524091
Action Construction Equipment Ltd|BOM532762
Action Financial Services (india) Ltd|BOM511706
Ad-manum Finance Ltd|BOM511359
Adani Enterprises Ltd|BOM512599
Adani Ports And Special Economic Zone Ltd|BOM532921
Adani Power Ltd|BOM533096
Adani Transmission Ltd|BOM539254
Adarsh Mercantile Ltd|BOM538563
Adarsh Plant Protect Ltd|BOM526711
Adc India Communications Limited-$|BOM523411
Adcc Infocad Ltd|BOM538734
Addi Industries Ltd.-$|BOM507852
Adf Foods Ltd.-$|BOM519183
Adhbhut Infrastructure Ltd|BOM539189
Adhunik Industries Ltd|BOM538365
Adhunik Metaliks Ltd|BOM532727
Adi Finechem Ltd|BOM530117
Adi Rasayan Ltd|BOM531592
Adinath Bio-labs Ltd|BOM590088
Adinath Exim Resources Ltd|BOM532056
Adinath Textiles Ltd|BOM514113
Aditya Birla Chemicals (india) Ltd|BOM500057
Aditya Birla Fashion And Retail Ltd|BOM535755
Aditya Birla Money Ltd.-$|BOM532974
Aditya Birla Nuvo Ltd|BOM500303
Aditya Forge Ltd|BOM522150
Aditya Ispat Ltd|BOM513513
Aditya Spinners Ltd|BOM521141
Adlabs Entertainment Ltd|BOM539056
Ador Fontech Ltd.-$|BOM530431
Ador Multiproducts Ltd|BOM523120
Ador Welding Ltd|BOM517041
Ads Diagnostic Ltd|BOM523031
Advance Lifestyles Ltd|BOM521048
Advance Metering Technology Ltd|BOM534612
Advance Petrochemicals Ltd|BOM506947
Advance Powerinfra Tech Limited|BOM531047
Advanced Micronic Devices Ltd.-$|BOM517552
Advani Hotels & Resorts (india) Ltd|BOM523269
Advanta Limited|BOM532840
Advent Computer Services Ltd|BOM531429
Advik Laboratories Ltd|BOM531686
Aegis Logistics Ltd|BOM500003
Aftek Ltd|BOM530707
Agarwal Industrial Corporation Ltd|BOM531921
Agc Networks Limited|BOM500463
Agi Infra Ltd|BOM539042
Agio Paper & Industries Ltd.-$|BOM516020
Agri- Tech (india) Ltd|BOM537292
Agrimony Commodities Ltd|BOM537492
Agro Dutch Industries Ltd|BOM519281
Agro Tech Foods Ltd|BOM500215
Ahlcon Parenterals (india) Ltd|BOM524448
Ahluwalia Contracts (india) Ltd|BOM532811
Ahmedabad Steelcraft Ltd|BOM522273
Ai Champdany Industries Ltd|BOM532806
Aia Engineering Ltd|BOM532683
